X_animacy,X,polarity,center,normalized,aspect,tense,number,Y,Y_POS,Y_number,Y_animacy,Y_case,Meaning,semi_neg,Full context,Created,Title,Sphere,Medium
anim,[он],neg,осилит,осилить,perf,futr,sing,ступить,INFN,,,,2.1,,"Ему хоша теперь и полегчало, а все ступить на ногу-то не осилит",1856,Д. В. Григорович. Переселенцы (1855-1856),художественная,книга
anim,Петр,pos,осиливал,осиливать,impf,past,sing,дверь,NOUN,sing,inan,accs,2.1,,"Петр Михайлыч долго осиливал всплошь железную церковную дверь, которая, наконец, скрипя, тяжело распахнулась",1858,А. Ф. Писемский. Тысяча душ (1858),художественная,книга
anim,змий,pos,осилил,осилить,perf,past,sing,над княгинею,NOUN,anim,anim,ablt,1.1,,Змий неприязненный осилил над княгинею,1858,Ф. И. Буслаев. Песни «Древней Эдды» о Зигурде и Муромская легенда (1858),учебно-научная | нехудожественная,книга
anim,он,pos,осилит,осилить,perf,futr,sing,что,CONJ,,,,2.1,,"Пусть он работает в колхозе по силе возможности, тяжелой работы мы ему давать не будем, что́ осилит, то пусть и делает",1959,М. А. Шолохов. Поднятая целина. Книга 2 (1959),художественная,книга
anim,"он, [человек]",neg,осиливал,осиливать,impf,past,sing,тома,NOUN,sing,inan,gent,3,,"Потом уж он не осиливал и первого тома, а большую часть свободного времени проводил, положив локоть на стол, а на локоть голову; иногда вместо локтя употреблял ту книгу, которую Штольц навязывал ему прочесть",1859,И. А. Гончаров. Обломов (1859),художественная,книга
inan,плоть,pos,осилит,осилить,perf,futr,sing,"всякого, человека",NOUN,sing,anim,accs,1.2,,"В первый-то день, только как уж очень в горле пересохнет, таки водицы изопьешь; а тут опосля тоже... все еще, видно, плоть-то человеческая немощна... осилит всякого... не вытерпел тоже... и на дорогу вышел: женщина тут на заделье ехала, так у ней каравай хлеба купил, только тем и питался",1859,А. Ф. Писемский. Горькая cудьбина (1859),художественная,книга
anim,"он, [человек]",pos,осилил,осилить,perf,past,sing,себя,NPRO,sing,anim,accs,1.2,,Наконец он осилил себя,1859,И. А. Гончаров. Обломов (1859),художественная,книга
anim,христиане,pos,осилили,осилить,perf,past,plur,ляхов,NOUN,plur,anim,accs,1.1,,"Государство Московское хвалят: в Московском, говорят, государстве великий государь православной христианской веры, и подданные его все православные же христиане, и войны в Московском государстве нет и вперед не будет, потому что вера православная одна; а у них и прежде с ляхами за веру война и разоренье бывало большое, а теперь хотя они с ляхами и помирятся, потому что они теперь ляхов осилили и ляхи им теперь уступают во всем, но потом ляхи над ними станут промышлять и за нынешнюю войну мстить; знают они подлинно, что ляхи против них войну начнут",1860,С. М. Соловьев. История России с древнейших времен. Том десятый (1860),учебно-научная | нехудожественная,книга
anim,поляки,pos,осилят,осилить,perf,futr,plur,черкас,NOUN,plur,anim,accs,1.1,,"В Смоленске, Орше, Минске, Могилеве и других городах православные толковали: «Когда у поляков с черкасами будут бои и станут поляки черкас осиливать, то мы, всяких чинов люди, поднимемся на поляков и сделаем у себя таких Хмельницких десять человек, а войска -- 100000 и станем Польшу и Литву воевать для того: если поляки черкас осилят, то и нас всех, православных христиан, выгубят, и нам поневоле против поляков стоять и биться пока нашей мочи будет",1860,С. М. Соловьев. История России с древнейших времен. Том десятый (1860),учебно-научная | нехудожественная,книга
anim,иезуиты,pos,осилили,осилить,perf,past,plur,протестантизм,NOUN,sing,inan,accs,1.1,,"Иезуиты благодаря своим ловким приемам осилили протестантизм, больной и слабый разделением; но, осилив протестантизм, иезуиты немедленно обратили внимание на более опасного врага -- на старинное, пустившее в народе глубокие корни, исповедание восточное, или русское: против него направлены были теперь усилия иезуитов; против него возбужден ими фанатизм католического народонаселения, против него, но их внушениям, действует правительство, отуманенное фанатизмом, не умеющее разобрать собственного интереса, думающее или, по крайней мере, желающее других заставить думать, что уния церковная скрепит унию государственную: надежда основательная только в том случае, если бы эта уния совершилась спокойно, без насилия",1860,С. М. Соловьев. История России с древнейших времен. Том десятый (1860),учебно-научная | нехудожественная,книга
anim,"Карп, [человек]",neg,осиливал,осиливать,impf,past,sing,с избою,NOUN,inan,inan,ablt,2.1,,"Карп не осиливал только с избою; все остальное, что зависело от его рук и средств, смотрело как нельзя пригляднее и обличало домовитого, деятельного хозяина",1860,Д. В. Григорович. Пахатник и бархатник (1860),художественная,книга
anim,Митрофанушка,neg,осиливает,осиливать,impf,pres,sing,книги,NOUN,sing,inan,gent,3,,"Является, стало быть, необходимость поработать, но наш новый Митрофанушка не осиливает ни одной книги и начинает говорить: «Не хочу учиться, хочу жениться",1861,"Д. И. Писарев. Писемский, Тургенев и Гончаров (1861)",публицистика | нехудожественная,книга
inan,организм,pos,осилил,осилить,perf,past,sing,начало,NOUN,sing,inan,accs,1.2,,"Зоненберг водил меня гулять по целым часам: особенно когда отец купил Никольское, и я там целый день был на воздухе, -- мой организм осилил золотушное начало, и, несмотря на то, что я в Никольском в роще ложился головой на колени Анны Егоровны и от эротической раздраженности мочился в панталоны, несмотря на это, я окреп",1862,Н. П. Огарев. Моя исповедь (1860-1862),публицистика | нехудожественная,книга
anim,"она, [человек]",pos,осилит,осилить,perf,futr,sing,насчет штрафу,NOUN,inan,inan,datv,2.2,,"Я так полагаю, Микит Иваныч, как мое рассуждение есть, может, она насчет штрафу осилит как-нибудь, -- вмешался он",1862,А. И. Левитов. Расправа (1862),художественная,книга
anim,[они],pos,осилили,осилить,perf,past,plur,солдат,NOUN,plur,anim,accs,1.1,,"Прошла весть, что близ Черкасска в степи, под вечер, на этап с колодниками было сделано нападение шайки бродяг; солдат осилили, освободили всех арестантов, расковали, и те разбежались без вести",1863,Г. П. Данилевский. Воля (1863),художественная,книга
anim,вы,pos,осилили,осилить,perf,past,plur,суд,NOUN,sing,inan,accs,1.2,,"Вы, генерал, осилили своею правотою суд, уездную и губернскую полицию, добыли себе в защиту главного чиновника из местной администрации, он все распутал, обличил и что же? -- является совершенно постороннее лицо и говорит: «Довольно! я не хочу, чтоб правда отыскалась!» -- и я должен бросить снова все",1863,Г. П. Данилевский. Воля (1863),художественная,книга
anim,[мы],pos,осилим,осилить,perf,futr,plur,купить,INFN,,,,2.2,,"Вложила ему в голову его хозяйка, что ль, бабочка хитрая, даром что молода, что у нас деньги такие, что купить некрута осилим",1863,Л. Н. Толстой. Поликушка (1863),художественная,книга
inan,годы,pos,осилили,осилить,perf,past,plur,силу,NOUN,sing,inan,accs,1.2,,"Стар человек я, годы осилили мою силу, а и в былое время не стать бы с тобою меряться: больно уж дивная сила, брат, у тебя",1864,В. В. Крестовский. Петербургские трущобы. Книга о сытых и голодных. Ч. 4 (1864),художественная,книга
anim,рассказчик,pos,осилил,осилить,perf,past,sing,сцену,NOUN,sing,inan,accs,3,,"Имел я тоже случай тогда до подробности разузнать о сцене в конторе квартала, тоже случайно-с, и не то чтобы так мимоходом, а от рассказчика особенного, капитального, который, и сам того не ведая, удивительно эту сцену осилил",1866,Ф. М. Достоевский. Преступление и наказание (1866),художественная,книга
inan,страдания,pos,осилят,осилить,perf,futr,plur,дух,NOUN,sing,inan,accs,1.2,,"Подчасъ нападетъ на него и грусть и отчаяніе, физическія страданія осилятъ духъ, но не надолго; прошла усталость и нравственная сила беретъ свое: снова начинается работа и еще съ большей силой чѣмъ прежде",1867,"Н. В. Шелгунов. Год на Севере С. Максимова (1867) // «Русское слово», № 2, 1860",публицистика | нехудожественная,журнал
anim,[они],pos,осилили,осилить,perf,past,plur,вас,NPRO,,anim,accs,1.1,,"Вас там осилили, а здесь вы вздохните да пообдумайтесь: мы говорить с вами будем, авось вы и в Бога уверуете, и Государя возлюбите, и Россию чтить станете; а тогда и сынка окрестим",1868,Н. С. Лесков. Божедомы (1868),художественная,книга
inan,волны,neg,осилили,осилить,perf,past,plur,меня,NPRO,sing,anim,accs,1.2,,"Меня веселила или, лучше сказать, раззадоривала борьба съ неугомонившимися волнами Невы, я иногда доводилъ себя до изнеможенія этимъ трудомъ и съ какою-то радостью, съ задорнымъ самодовольствіемъ чувствовалъ, что волны не осилили меня, что вотъ завтра я опять поѣду спорить съ ними, наслажусь этимъ споромъ и опять не струшу, если какая-нибудь шальная волна обдастъ мое лицо своей пѣной и хлеснетъ въ челнокъ",1868,А. К. Шеллер-Михайлов. С квартиры на квартиру (1868),художественная,книга
anim,читатель,pos,осиливает,осиливать,impf,pres,sing,"их, вещи",NPRO,plur,inan,accs,3,едва,"Нельзя также сказать, чтобы роман был очень длинен, но странное явление иногда происходит в беллетристике: вещи очень длинные кажутся короткими, вещи несомненно короткие кажутся такими длинными, что читатель едва осиливает их до конца",1868,М. Е. Салтыков-Щедрин. Засоренные дороги и с квартиры на квартиру. Роман и рассказ соч. А. Михайлова (1868),публицистика | нехудожественная,книга
anim,"[я], [он]",neg,осилил,осилить,perf,past,sing,себя,NPRO,sing,anim,accs,1.2,,Наконец-таки не осилил себя: приблизился к постели и с жутким чувством в душе приник трепещущими губами к щеке жены,1869,В. В. Крестовский. Панургово стадо (Ч. 3-4) (1869),художественная,книга
anim,он,pos,осиливает,осиливать,impf,pres,sing,винища,NOUN,sing,inan,accs,4,,"Стар, стар, а сколько он этого винища осиливает",1870,А. И. Левитов. Бесприютный (1870),художественная,книга
inan,народ,neg,осилит,осилить,perf,futr,sing,стихии,NOUN,sing,inan,gent,1.2,,"Если обычай народа измѣняется не силою его духа, не силою совершенствованія нравственнаго его чувства, не просвѣщеніемъ народной совѣсти, а уничтожается онъ внѣшнимъ насиліемъ и соблазномъ ради введенія въ жизнь чуждыхъ для нея формъ, хотя бы даже и болѣе совершенныхъ; и если народъ не осилитъ чуждой для него стихіи: то внутренняя правда его быта замѣняется внѣшнею, чисто формальною, призрачною правдою, туманится его общественная совѣсть, и нравственность его падаетъ",1871,"С. А. Юрьев. В чем наша задача? // «Беседа», № 1, 1871",публицистика | нехудожественная,журнал
inan,чья,pos,осилит,осилить,perf,futr,sing,круг,NOUN,sing,inan,accs,2.1,,"Чья осилит круг прежде другой, тот и выигрывает",1871,С. В. Максимов. Сибирь и каторга (1871),,
