X_animacy,X,polarity,center,normalized,aspect,tense,number,Y,Y_POS,Y_number,Y_animacy,Y_case,Meaning,semi_neg,Full context,Created,Title,Sphere,Medium
anim,[люди],neg,осилили,осилить,perf,past,plur,тебя,NPRO,sing,anim,accs,1.1,,"Не осилили Тебя сильные, Так дорезала Осень черная",1896,Д. С. Мережковский. Пушкин (1896),публицистика | нехудожественная,книга
anim,ты,neg,осилишь,осилить,perf,futr,sing,меня,NPRO,sing,anim,accs,1.1,,"По мне, так хоть бы и еще, а только тебя жаль: чего даром силенку твою надрывать: все равно меня не осилишь, -- задорно ответа Бахметов",1896,Н. Н. Алексеев. Татарский отпрыск (1896),художественная,книга
inan,презрение,pos,осилило,осилить,perf,past,sing,расчеты,NOUN,plur,inan,accs,1.2,,Презрѣніе впервые осилило въ старомъ вельможѣ всѣ разсчеты,1896,В. П. Желиховская. Над пучиной (1878-1896),художественная,книга
inan,молодость и здоровье,pos,осилят,осилить,perf,futr,plur,страдание,NOUN,sing,inan,accs,1.2,,"Молодость и природное здоровье скоро осилят это временное страдание», -- думал он и возлагал все надежды в этом случае на возвращение генерала и их поездку за границу",1896,В. П. Желиховская. Подруги (1878-1896),художественная,электронный текст
anim,князь,pos,осилил,осилить,perf,past,sing,волю,NOUN,sing,inan,accs,1.2,,"Князь осилил гордую волю полоцкой княжны, она покорилась",1897,А. И. Красницкий. Красное Солнышко (1897),художественная,книга
anim,я,neg,осилю,осилить,perf,futr,sing,их,NPRO,plur,inan,accs,4,,"Спорили, что я их не осилю, а я самым спокойным образом уложил их в желудок и ни малейшей тяжести не почувствовал",1897,А. А. Нильский. Закулисная хроника (1893-1897),публицистика | нехудожественная,книга
inan,Солнце,pos,осилило,осилить,perf,past,sing,туман,NOUN,sing,inan,accs,1.2,,"Было девять часов утра, Солнце осилило, наконец, туман и ярким, теплым светом обдало открывшуюся предо мной картину",1898,"В. Д. Черевков. По китайскому побережью // «Исторический вестник», 1898",публицистика | нехудожественная,журнал
anim,она,pos,осилила,осилить,perf,past,sing,себя,NPRO,sing,anim,accs,1.2,,"Она вздрогнула, но осилила себя",1898,Н. Э. Гейнце. Аракчеев (1898),художественная,книга
inan,искусство инженеров,pos,осилило,осилить,perf,past,sing,неприступность,NOUN,sing,inan,accs,2.1,,"Но ужасъ вашъ только отъ одного вашего воображенія, отъ обстоящей васъ со всѣхъ сторонъ картины обрывовъ, скалъ, пропастей; коляска же ваша безопасно и спокойно, хотя уже далеко не прытко продолжаетъ описывать свои надоѣдливо крутящіеся около одного и того же мѣста длинные зигзаги, которыми искусство инженеровъ обмануло и осилило мнимую неприступность горъ",1898,"Е. Л. Марков. Славянская Спарта // «Вестник Европы», №№ 7-10, 1898",публицистика | нехудожественная,журнал
,,neg,осилишь,осилить,perf,futr,sing,"его, черта",NOUN,sing,anim,accs,1.1,,"Да не осилишь его, старого черта",1898,Н. Э. Гейнце. Людоедка (1898),художественная,книга
anim,противная (сторона),pos,осиливала,осиливать,impf,past,sing,ее,NPRO,sing,anim,accs,1.1,,"Когда колебалась в доказательствах одна сторона и осиливала ее противная более вескими данными, а сладу и мировой все-таки не было, отыскивали, приводили на межи «знахаря», вполне доверяясь его свидетельству и решению",1899,C. В. Максимов. Крылатые слова (1899),,
anim,ты,pos,осиль,осилить,perf,,sing,себя,NPRO,sing,anim,accs,1.2,,"А ты осиль себя, заставь верить",1900,Н. Н. Алексеев. Заморский выходец (1900),художественная,книга
inan,Натура,pos,осилила,осилить,perf,past,sing,болезнь,NOUN,sing,inan,accs,1.2,,"Кречет-Буйтуров долго находился между жизнью и смертью, наконец крепкая натура осилила болезнь",1900,Н. Н. Алексеев. Заморский выходец (1900),художественная,книга
anim,Борис Годунов,neg,осилит,осилить,perf,futr,sing,врагов,NOUN,plur,anim,accs,1.1,,"Неужели он, Борис Годунов, не осилит врагов",1900,Н. Н. Алексеев. Заморский выходец (1900),художественная,книга
inan,Волнение,pos,осилило,осилить,perf,past,sing,ее,NPRO,sing,anim,accs,1.2,,"Но затем волнение опять осилило ее, голос стал прерываться, она несколько раз приостанавливалась, принималась плакать",1900,В. Г. Авсеенко. Петербургские очерки (1900),художественная,книга
inan,огонь,pos,осиливает,осиливать,impf,pres,sing,дым,NOUN,sing,inan,accs,1.2,,"Дым клубами взлетал вверх и расстилался по воздуху широкой полосой; ветер был на манчжурский город и раздувал пламя, которое сперва взвивалось сквозь дым острыми продолговатыми языками; казалось, оно боролось с дымом, не дававшим огню свободы, но скоро уже стало видно, что огонь осиливает дым и вырывается на волю ярким, жгучим пламенем",1901,В. В. Корсаков. Пекинские события. Личные воспоминания участника об осаде в Пекине. Май-август 1900 года (1901),публицистика | нехудожественная,книга
anim,мы,neg,осилим,осилить,perf,futr,plur,Саратова,NOUN,sing,inan,gent,1.1,,"Смотри, государь стрельцов нашлет -- и не осилим Саратова",1901,А. Е. Зарин. Кровавый пир (1901),художественная,книга
anim,[ты],pos,осилишь,осилить,perf,futr,sing,книги,NOUN,plur,inan,accs,3,,"Рекомендовать особенно не буду, но если двѣ-три книги осилишь, много понимать будешь: попу не лишне все понимать",1902,"Сергей Елеонский (С. Н. Миловский). Неизреченный свет // «Русское богатство», №5, №7, 1902",художественная,журнал
inan,движение,pos,осилило,осилить,perf,past,sing,задачу,NOUN,sing,inan,accs,1.2,,"Роскоши -- когда движение вполне осилило уже задачу всесторонних обличении и всесторонней агитации, так что кроме центрального органа становятся необходимы многочисленные местные",1902,В. И. Ленин. Что делать? Наболевшие вопросы нашего движения (1902),публицистика | нехудожественная,книга
anim,вы,neg,осилили,осилить,perf,past,plur,не поддаться,INFN,,,,2.1,,Он и говорит Петру: так вы и не осилили на один час не поддаться унынию,1902,"Л. Н. Толстой. Соединение и перевод четырех Евангелий (1902) // «Толстовский Листок - Запрещенный Толстой», №6, 1995",церковно-богословская | нехудожественная,журнал
anim,вы,neg,осилите,осилить,perf,futr,plur,подняться,INFN,,,,2.1,,"И он сказал им: как это вы не осилите на один час подняться духом так, как я",1902,"Л. Н. Толстой. Соединение и перевод четырех Евангелий (1902) // «Толстовский Листок - Запрещенный Толстой», №6, 1995",церковно-богословская | нехудожественная,журнал
anim,кто,pos,осилит,осилить,perf,futr,sing,кого,NPRO,,,gent,1.1,,"Сегодня видел Марченко, который мне говорил, что полицмейстер Михайловского театра Адамович очень недоволен уходом Лаппы и говорил, что еще посмотрим, кто кого осилит -- Теляковский или мы",1902,В. А. Теляковский. Дневники Директора Императорских театров (1902),бытовая | нехудожественная,книга
anim,[они],pos,осилят,осилить,perf,futr,plur,нас,NPRO,plur,anim,gent,1.1,,А если нас осилят,1903,Р. Л. Антропов. Герцогиня и «конюх» (1903),художественная,книга
anim,жена,neg,осилила,осилить,perf,past,sing,недостатка,NOUN,sing,inan,gent,1.2,,Первая жена царя Алексея не осилила этого недостатка фамилии,1904,В. О. Ключевский. Русская история. Полный курс лекций. Лекции 54-65 (1904),учебно-научная | нехудожественная,книга
anim,Милославские,pos,осилили,осилить,perf,past,plur,Нарышкиных,NOUN,plur,anim,accs,1.1,,"Милославские осилили Нарышкиных и самого сильного человека их стороны, Матвеева, не замедлили убрать подальше на север, в Пустозерск",1904,В. О. Ключевский. Русская история. Полный курс лекций. Лекции 54-65 (1904),учебно-научная | нехудожественная,книга
anim,[мы],pos,осилим,осилить,perf,futr,plur,Москву,NOUN,sing,inan,accs,1.1,,"Ну, да вот, когда Москву осилим, так и Тверь приукрасим",1904,Н. Н. Алексеев. Брат на брата (1904),художественная,книга
inan,не всякий,pos,осилит,осилить,perf,futr,sing,поднять,INFN,,,,2.1,,"Это сборник 45 громадных томов, каждый из которых не всякий осилит поднять",1904,В. О. Ключевский. Русская история. Полный курс лекций. Лекции 76-86 (1904),учебно-научная | нехудожественная,книга
anim,кто,pos,осилит,осилить,perf,futr,sing,меня,NPRO,sing,anim,accs,1.1,,Кто меня осилит,1904,Н. Н. Алексеев. Брат на брата (1904),художественная,книга
anim,"другой, [люди]",neg,осилил,осилить,perf,past,sing,думы,NOUN,sing,inan,gent,3,,"Сомнения и колебания» оказались тем общественным реактивом, который разложил разношерстную массу народолюбивой интеллигенции на два основных элемента: один из них преодолел свое временное настроение и сумел отрешиться от него: другой «не осилил думы жестокой» и временное настроение одолело его, стало доминирующим его настроением",1905,В. В. Воровский. Лишние люди (1905),публицистика | нехудожественная,электронный текст
inan,народ,pos,осилил,осилить,perf,past,sing,повинности,NOUN,plur,inan,accs,1.1,,"4-го августа 1789 г., три недели спустя после взятия Бастилии, французский народ в один день осилил все феодальные повинности",1905,В. И. Ленин. Две тактики социал-демократии в демократической революции (1905),публицистика | нехудожественная,книга
inan,повинности,pos,осилили,осилить,perf,past,plur,народ,NOUN,sing,inan,accs,1.1,,"11-го июля 1848 г., четыре месяца спустя после мартовских баррикад, феодальные повинности осилили немецкий народ",1905,В. И. Ленин. Две тактики социал-демократии в демократической революции (1905),публицистика | нехудожественная,книга
anim,кто,pos,осилит,осилить,perf,futr,sing,кого,NPRO,,,,1.1,,"Спорятся, кто кого осилит",1906,О. П. Семенова-Тян-Шанская. Жизнь «Ивана». Очерки из быта крестьян одной из черноземных губерний (1885-1906),публицистика | нехудожественная,книга
anim,"он, [человек]",pos,осилит,осилить,perf,futr,sing,все редьки,NOUN,plur,inan,accs,2.1,,"Если осилит все редьки, то он (или она) «молодец» (хотя руки после такого упражнения и болят целый день",1906,О. П. Семенова-Тян-Шанская. Жизнь «Ивана». Очерки из быта крестьян одной из черноземных губерний (1885-1906),публицистика | нехудожественная,книга
anim,кто,pos,осилит,осилить,perf,futr,sing,кого,NPRO,,,,1.1,,"Ну-да ладно, посмотрим еще, кто кого осилит",1906,Валентин Курицын. Томские трущобы (1906),художественная,книга
anim,гений человека,pos,осилит,осилить,perf,futr,sing,"их, препятствия",NPRO,plur,inan,accs,2.1,,"По его мнению слишком велики препятствия, которые нужно преодолеть; но с течением времени гений человека осилит их",1907,"Заграничная жизнь. Тысяча слов в минуту по беспроволочному телеграфу (24.10.1907) // «Русский листок», 1907",публицистика | нехудожественная,газета
inan,организм,pos,осилит,осилить,perf,futr,sing,болезнь,NOUN,sing,inan,accs,1.2,,"Господа, нельзя укрепить больное тело, питая его вырезанными из него самого кусками мяса; надо дать толчок организму, создать прилив питательных соков к больному месту, и тогда организм осилит болезнь; в этом должно, несомненно, участвовать все государство, все части государства должны прийти на помощь той его части, которая в настоящее время является слабейшей",1907,"П. А. Столыпин. Речь об устройстве быта крестьян и о праве собственности, произнесенная в Государственной думе 10 мая 1907 года (1907)",публицистика | нехудожественная,книга
anim,он,neg,осилит,осилить,perf,futr,sing,преступников,NOUN,plur,anim,accs,1.1,,"В первый момент Боб хотел броситься на помощь, но потом сообразил, что он один все равно не осилит преступников",1908,"Нат Пинкертон, король сыщиков / Разбойники на озере Эри (1908)",художественная,книга
anim,они,pos,осилили,осилить,perf,past,plur,выговор,NOUN,sing,inan,accs,3,,"Они осилили казачий выговор на в и гортанное г, и произносили правильно, по литературному",1908,К. К. Романов. Дневники. Воспоминания. Стихи. Письма (1908),бытовая | нехудожественная,книга
inan,Россия,pos,осилит,осилить,perf,futr,sing,оборудование,NOUN,sing,inan,accs,2.2,,"Таким образом, в настоящее время обсуждению Государственного совета подлежит вопрос, нужен ли России флот и если этот флот нужен, то осилит ли Россия оборудование, сооружение четырех броненосцев в течение четырех лет с ассигнованием в настоящем году на этот предмет 11250 000 рублей",1908,"П. А. Столыпин. Речь о задачах Морского министерства, произнесенная в Государственном совете 13 июня 1908 года (1908)",публицистика | нехудожественная,книга
inan,финансы,pos,осилили,осилить,perf,past,plur,войну,NOUN,sing,inan,accs,2.2,,"Если, господа, в самые тягостные минуты нашей новейшей истории русские финансы осилили войну, осилили смуту, то на скрепление нашего расшатанного государственного тела железным обручем будут средства",1908,"П. А. Столыпин. Речь о сооружении Амурской железной дороги, произнесенная в Государственной думе 31 марта 1908 года (1908)",публицистика | нехудожественная,книга
inan,финансы,pos,осилили,осилить,perf,past,plur,смуту,NOUN,sing,inan,accs,2.2,,"Если, господа, в самые тягостные минуты нашей новейшей истории русские финансы осилили войну, осилили смуту, то на скрепление нашего расшатанного государственного тела железным обручем будут средства",1908,"П. А. Столыпин. Речь о сооружении Амурской железной дороги, произнесенная в Государственной думе 31 марта 1908 года (1908)",публицистика | нехудожественная,книга
anim,мальчик,pos,осиливает,осиливать,impf,pres,sing,вопрос,NOUN,sing,inan,accs,2.1,с трудом,"А почему же... папа не дворник, а дворник... не папа? -- с трудом осиливает мальчик сложный вопрос, спеша в то же самое время одеться с помощью матери и поскорее посмотреть на себя в зеркало в полном вооружении, а главное -- уйти от отца, непонятное недовольство которого он смутно чувствует вместе с еще более непонятной виной перед ним",1908,"А. М. Федоров. Воспитание // «Фонарь», 1908",художественная,журнал
inan,организм,pos,осилит,осилить,perf,futr,sing,рану,NOUN,sing,inan,accs,1.2,,"Выразим пожелание и надежду, что крепкий организм молодого художника осилит рану, так безжалостно нанесенную ему кавказскими разбойниками",1908,"Внутренние известия. Разбойное нападение на И. Э. Грабаря (23.09.1908) // «Московские ведомости», 1908",публицистика | нехудожественная,газета
anim,Траверсари,neg,осилил,осилить,perf,past,sing,"его, язык",NPRO,sing,inan,accs,3,,"Лихорадочным трудом, недосыпанием ночей Манетти наверстал потерянное время и не только овладел в совершенстве латинским и греческим языками, но выучился даже и еврейскому -- первый из гуманистов, потому что Траверсари не осилил его",1908,А. К. Дживелегов. Начало итальянского Возрождения (1908),учебно-научная | нехудожественная,книга
anim,[они],pos,осилят,осилить,perf,futr,plur,его,NPRO,sing,anim,accs,1.1,,"Что бы он ни говорил, слов его не послушают, а если станет кричать, то заткнут рот тряпкой, и будет ли он сам передвигать ногами, его отведут и повесят; и станет ли он сопротивляться, барахтаться, ляжет наземь -- его осилят, поднимут, свяжут и связанного поднесут к виселице",1908,Л. Н. Андреев. Рассказ о семи повешенных (1908),художественная,книга
inan,обаяние,pos,осилило,осилить,perf,past,sing,Свидригайлова,NOUN,sing,anim,accs,1.2,,"Не в этом ли и лежит то сладострастное обаяние Дунечки, которое осилило Свидригайлова и, презрительно готовое проституироваться Лужину, осуждено уйти холодным и бездетным из объятий Разумихина",1909,И. Ф. Анненский. Вторая книга отражений (1909),публицистика,книга
anim,сын,neg,осилил,осилить,perf,past,sing,судьбы,NOUN,sing,inan,gent,1.2,,"Нет, не один триумфатор, не только венчанный любимец слепой богини, в памяти людей уцелеет и истекающий кровью сын несчастья и геройский боец, который не осилил своей судьбы",1909,И. Ф. Анненский. Вторая книга отражений (1909),публицистика,книга
anim,он,neg,осилит,осилить,perf,futr,sing,волка,NOUN,sing,anim,accs,1.1,,"Если диагноз мой верен, посоветуем г. Философову укрепляющие средства, ибо иначе он не осилит никакого «волка» и не защитит ничьей «матери",1909,П. Б. Струве. Слабонервность или игра на слабых нервах? (1909),публицистика | нехудожественная,книга
anim,я,neg,осилил,осилить,perf,past,sing,устроить,INFN,,,,2.1,,"Я плох и плохо прожил, не умел и не осилил устроить жизнь хорошо",1910,Л. Н. Толстой. Записные книжки (1900-1910),бытовая | нехудожественная,книга
anim,она,neg,осилила,осилить,perf,past,sing,роли,NOUN,sing,inan,gent,3,,"Роль жены играла Блохина -- роли она не осилила и была плоха, особенно в горячих сценах, неясно говорила и произносила слова",1910,В. А. Теляковский. Дневники Директора Императорских театров (1910),бытовая | нехудожественная,книга
anim,они,neg,осилили,осилить,perf,past,plur,борьбы,NOUN,sing,inan,gent,2.1,,"Что делать людям, когда они не осилили борьбы и пали",1910,Л. Н. Толстой. Путь жизни (1910),публицистика | нехудожественная,книга
anim,животные,pos,осилят,осилить,perf,futr,plur,тебя,NPRO,sing,anim,accs,1.1,,"Если ты человек, то и не заканчивайся этим, не то скоро животные догонят тебя и осилят, потому что у них нет тех слабостей, которые у человека",1911,Л. А. Чарская. Золотая рота (1911),художественная,книга
anim,кто,pos,осилит,осилить,perf,futr,sing,кого,NPRO,,,,1.1,,Кто кого осилит,1911,Л. А. Чарская. Золотая рота (1911),художественная,книга
anim,"единицы, [люди]",pos,осилят,осилить,perf,futr,plur,болванов,NOUN,plur,anim,accs,1.1,,"Пусть растет народный пролетариат, ведь попутно растет и единичный промышленный капитализм, а с ним и благоденствие тех могучих единиц, которые в конце концов осилят жалких тупых болванов, стремящихся занять также места на промышленном вселенском рынке",1911,Л. А. Чарская. Золотая рота (1911),художественная,книга
anim,[ты],pos,осилишь,осилить,perf,futr,sing,разум,NOUN,sing,inan,accs,3,,"Разум осилишь, сердце",1911,Л. А. Чарская. Золотая рота (1911),художественная,книга
anim,я,pos,осилил,осилить,perf,past,sing,Вальтер Скотта,NOUN,sing,anim,accs,3,,"Через две-три недели после того, как я в первый раз увидел английский учебник, я уже читал запоем романы лучших английских писателей на их родном языке и даже осилил затем и Вальтер Скотта, и Макдональда с шотландскими выражениями, пестрящими у них, как украинские у Гоголя",1912,Н. А. Морозов. Повести моей жизни/ Перед грозой (1912),художественная,книга
anim,я,pos,осилил,осилить,perf,past,sing,все,NPRO,,,,3,,"Начав один предмет, как в данном случае историю, я уже не уклонялся от него ни в какой другой, пока не чувствовал, что осилил все",1912,Н. А. Морозов. Повести моей жизни/ Дни испытания (1912),художественная,книга
anim,я,pos,осилил,осилить,perf,past,sing,шесть страниц,NUMR,,,accs,3,лишь,Но я пока лишь шесть страниц осилил,1912,"Ф. Д. Крюков. Без огня // «Русское Богатство», 1912",художественная,журнал
anim,"[я], [он]",pos,осилил,осилить,perf,past,sing,их,NPRO,plur,,accs,3,,"Наконец вчера, 6-го, сидя на полукруглой чугунной скамейке у лаун-тенниса против вольера, осилил их",1912,К. К. Романов. Дневники. Воспоминания. Стихи. Письма (1912),бытовая | нехудожественная,книга
anim,"не все, [люди]",pos,осилят,осилить,perf,futr,plur,"ее, газету",NPRO,sing,inan,accs,3,,"Для газеты, -- продолжал он, -- она громоздка, займет много номеров, и не все ее осилят",1912,П. И. Соколов. Воспоминания об А. С. Суворине (1912),публицистика | нехудожественная,книга
anim,[я],neg,осилил,осилить,perf,past,sing,азбуки,NOUN,sing,inan,gent,3,,А я на это отвечал только одно: азбуки еще не осилил,1912,"С. Никитин. Беседа с Григорием Распутиным (29.02.1912) // «Петербургская газета», 1912",публицистика | нехудожественная,газета
anim,"тот, [человек]",pos,осилил,осилить,perf,past,sing,сына,NOUN,sing,anim,accs,1.1,,"Но тот, обвившись звеньями змей вкруг касийских утесов, осилил в борьбе Кронова сына",1913,А. А. Кондратьев. Ехидна (1913),художественная,книга
anim,Тургенев,neg,осилил,осилить,perf,past,sing,Базарова-теоретика,NOUN,sing,anim,accs,3,,"Конечно, автор глубоко прав в том, что показал, как не выдержал Базаров своих принципов, как за свое презрение к любви и романтизму он сам оказался романтиком, страстно полюбил и даже к смертному одру своему, точно ангела смерти, позвал Одинцову, чтобы она своим поцелуем дунула на угасающую лампу его молодой жизни, -- но эта победа души над теорией оказалась слишком нетрудной, потому что Базарова-теоретика, Базарова-нигилиста Тургенев не осилил и эту грань его написал фальшиво и недоказательно; такую принципиальность немудрено снести первому же веянию женских чар",1913,Ю. И. Айхенвальд. Тургенев (1913),публицистика | нехудожественная,книга
,,neg,осилили,осилить,perf,past,plur,его,NPRO,sing,anim,accs,1.1,,Што ж тогда его с земским не осилили,1913,А. А. Богданов. Перед рассветом (1913),художественная,книга
inan,влияние,pos,осилило,осилить,perf,past,sing,влияние,NOUN,sing,inan,accs,1.2,,"Очевидно, влияние Великого Князя осилило влияние Распутина и компании",1914,М. Л. Казем-Бек. Дневник (1914),бытовая | нехудожественная,книга
anim,мы,pos,осилим,осилить,perf,futr,plur,зверей,NOUN,sing,anim,accs,1.1,,"Немцы, конечно, будут драться, как обозленные звери, и от нас потребуется много усилий и много жертв, прежде чем мы осилим этих зверей",1914,М. Л. Казем-Бек. Дневник (1914),бытовая | нехудожественная,книга
anim,он,pos,осилил,осилить,perf,past,sing,хохот,NOUN,sing,inan,accs,1.2,,"Я вам вот что скажу», -- совершенно серьезно сказал Николай Аполлонович, сделавши вид, что он бешеный хохот осилил (он смеялся насильно), -- «вы ошибаетесь, потому что к террору у меня отношение отрицательное; да и, кроме всего: скажите мне, откуда вы заключаете",1914,Андрей Белый. Петербург (1913-1914),художественная,книга
anim,барин,neg,осилил,осилить,perf,past,sing,мудрости,NOUN,sing,inan,gent,3,,"И Степка рассказывал; все о том, об одном: как у них на селе завелись мудреные люди, что у тех мудреных людей выходило относительно всего прочего, как они на селе возвещали рождение дитяти, то ись, аслапаждение: аслапажденье всеобщее; да еще вы ходило: скоро, мол, сбудется; а про то, что он, Степка, и сам бывал на молениях мудренейших этих людей, -- ни гу-гу; и еще рассказывал он относительно захожего барина, и всего прочего вместе взятого; какой барин был относительно протчего: на село бежал от барской невесты; и так далее; сам ушел -- к мудреным людям, а их мудрости все равно не осилил (хоть барин); слышь, писали о нем, будто скрылся -- относительно всего протчего; да еще: в придачу обобрал он купчиху; выходило все вместе: рождению дитяти, аслапажде-нию, и протчему -- скоро быть",1914,Андрей Белый. Петербург (1913-1914),художественная,книга
anim,что,pos,осилит,осилить,perf,futr,sing,блеск,NOUN,sing,inan,accs,1.2,,Что осилит ослепительный блеск неверия,1914,А. И. Цветаева. Королевские размышления (1914),публицистика | нехудожественная,книга
inan,солнце,neg,осилит,осилить,perf,futr,sing,дня,NOUN,sing,inan,gent,1.2,,"Потом за черным бором начинается красный строгий восход, и долго все разгорается, разгорается, и часто бывает так, и не осилит солнце зимнего дня, не выбьется, и мгла застелет все и до вечера так останется, а вечером полусвет, так что видно, как зайцы выходят на озимь из лежки, становятся друг против друга",1914,М. М. Пришвин. Дневники (1914),публицистика | нехудожественная,книга
inan,организм,pos,осилит,осилить,perf,futr,sing,недуг,NOUN,sing,inan,accs,1.2,,"Все старались возбудить сердце, все надеялись, что молодой организм осилит недуг",1914,М. Л. Казем-Бек. Дневник (1914),бытовая | нехудожественная,книга
inan,душа,pos,осилила,осилить,perf,past,sing,наваждение,NOUN,sing,inan,accs,1.2,,Но как скоро душа его осилила это проклятое наваждение,1914,И. H. Потапенко. Несколько лет с А. П. Чеховым. К 10-летию со дня его кончины (1904-1914),публицистика | нехудожественная,книга
anim,я,neg,осилил,осилить,perf,past,sing,искушения,NOUN,sing,inan,gent,1.2,,"Прости, господи, твою душу, а ты прости мою, ибо я слаб и не осилил искушения",1914,"А. С. Грин. Покаянная рукопись // А. С. Грин. Собр. соч. в 6 т. Т. 3., 1914",художественная,журнал
anim,[она],pos,осилила,осилить,perf,past,sing,слабость,NOUN,sing,inan,accs,1.2,,"Но поборола себя, осилила обволакивающую тело крутящую слабость и тотчас же оледенела — зимним холодом сковало сердце",1914,Юрий Слёзкин. Ольга Орг (1914),художественная,книга
anim,они,neg,осилили,осилить,perf,past,plur,войск,NOUN,plur,inan,gent,1.1,,"Теперь уже они не говорят, что достигнуто «решение войны», или что «Русские разбиты», а, напротив, сообщают, что русских войск они еще не осилили",1915,"Последние известия (06.01.1915) // «Новое время», 1915",публицистика | нехудожественная,газета
anim,вы,pos,осилите,осилить,perf,futr,plur,бешенство,NOUN,sing,inan,accs,1.2,,Духом своим здоровым вы всякое в себе бешенство осилите,1916,М. С. Шагинян. Своя судьба (1916),художественная,книга
anim,"[я], [он]",pos,осилил,осилить,perf,past,sing,англичан,NOUN,plur,anim,accs,1.1,,Англичан осилил в два приема,1916,И. А. Аксенов. Письма к С. П. Боброву (1916),бытовая | нехудожественная,книга
anim,я,pos,осилил,осилить,perf,past,sing,мысль,NOUN,sing,inan,accs,3,не сразу,"Признаюсь, я не сразу осилил мысль, что г-жа З., эта растолстевшая особа, могла ещё вмещать в своё грузное тело стремление к политической деятельности",1916,В. В. Брусянин. В стране озёр (1916),художественная,книга
anim,он,neg,осилил,осилить,perf,past,sing,сделать,INFN,,,,2.1,,"Через два дня, в ночь с 27-го на 28-е, он с доктором Душаном Петровичем Маковицким уехал из дома, написав мне и брату Сергею, что ушел, потому что «не осилил» сделать иначе",1917,Т. Л. Сухотина-Толстая. Друзья Ясной Поляны (1908-1917),публицистика | нехудожественная,книга
inan,"тоска, тьма",pos,осиливают,осиливать,impf,pres,plur,меня,NPRO,sing,anim,accs,1.2,,"Тоска, беспросветная тоска, тьма осиливают меня, а тут еще и Ольга уедет; целыми днями как белка в колесе",1918,Е. А. Мравинский. Записки на память: Дневники. 1918--1987 (1918),бытовая | нехудожественная,книга
inan,солнце,pos,осилит,осилить,perf,futr,sing,тучи,NOUN,plur,inan,accs,1.2,,"В 7 утра выхожу -- рассветает медленно из-под дождя, я думаю: разойдется туман, осилит солнце тучи -- с утра, наверно, будет пальба; колокольня уж очень-то близко к нам, ведь один только снаряд в наш деревянный домик -- и Лева разлучится с отцом или я с Левой -- хорошо, если вместе! и весь страх -- за разлуку.... закричали галки, рассветает, верно, все больше и больше; такая подлая жизнь, и все держимся, мы ценим в ней цельность, союз, -- а смерть страшна разделением, разлукой; смерть -- рассечение (боимся, что не сразу: изувечат, ногу отрежут -- в этом страх)... нас всех обыскали -- обыск! все увезли из города, перестали хлеб выдавать, исчезла аптека и пр.; потом стали пугать стрельбой -- запугали! опять началась эпидемия, холод, и все-таки хочется жить",1919,М. М. Пришвин. Дневники (1919),публицистика | нехудожественная,книга
inan,рассвет,pos,осилил,осилить,perf,past,sing,туманы,NOUN,plur,inan,accs,1.2,,"Прошла тяжелая сентябрьская ночь, осилил рассвет дождевую мелкоту и туманы, кричит на улице молочник: «Соха и молот!» -- великая радость в «Сохе» и ликование, я подумал: «Правда вчера говорили, что Курск взят обратно и опасность Ельцу миновала», -- почитал, нет! про Елец и Курск ни слова, а радость по случаю побед в Туркестане и какому-то благожелательному повороту в Лондоне общественного мнения по отношению к большевикам",1919,М. М. Пришвин. Дневники (1919),публицистика | нехудожественная,книга
anim,ты,pos,осилишь,осилить,perf,futr,sing,"его, Бога",NOUN,sing,anim,accs,3,,"Вочеловечь самого Бога, если ты его осилишь, Иаков, и он тотчас же заговорит с тобою на превосходном еврейском или французском языке, и не скажет больше того, что можно сказать на превосходном еврейском или французском языке",1919,Л. Н. Андреев. Дневник сатаны (1919),художественная,книга
anim,[я],neg,осилила,осилить,perf,past,sing,урока,NOUN,sing,inan,gent,3,,"Сейчас взяла у Милы книгу, но урока не осилила",1920,И. Н. Кнорринг. Дневник (1920),бытовая | нехудожественная,книга
